,cat,word/character,pronunciation,definition,code,alt
0,1,的,de,<grammatical particle marking genitive as well as simple and composed adjectives>,s,
1,1,的,de,<grammatical particle marking genitive as well as simple and composed adjectives>,t,
2,1,我的,de, wǒde my,s,
3,1,我的,de,我的 wǒde my,t,
4,1,高的,de," gāode high, tall",s,
5,1,高的,de,"高的 gāode high, tall",t,
6,1,是的,de," shìde that's it, that's right",s,
7,1,是的,de,"是的 shìde that's it, that's right",t,
8,1,是的,de,shìde one who...,s,
9,1,是的,de,shìde one who...,t,
10,1,他是说汉语的,de,. Tā shì shuō Hànyǔde. He is one who speaks Chinese.,s,
11,1,他是說漢語的,de,他是說漢語的. Tā shì shuō Hànyǔde. He is one who speaks Chinese.,t,
12,1,目的,dì, mùdì goal,s,
13,1,目的,dì,目的 mùdì goal,t,
14,1,的,dí,"true, real",s,
15,1,的,dí,"true, real",t,
16,1,的确,dí, díquè certainly,s,
17,1,的確,dí,的確 díquè certainly,t,
18,2,一,yī,"one, a little",s,壹
19,2,一,yī,"one, a little",t,壹
20,2,第一,yī," dì-yī first, primary",s,壹
21,2,第一,yī,"第一 dì-yī first, primary",t,壹
22,2,看一看,yī, kànyīkàn have a (quick) look at,s,壹
23,2,看一看,yī,看一看 kànyīkàn have a (quick) look at,t,壹
24,2,一,yí,(used before tones #4 and #5),s,壹
25,2,一,yí,(used before tones #4 and #5),t,壹
26,2,一个人,yí, yíge rén one person,s,壹
27,2,一個人,yí,一個人 yíge rén one person,t,壹
28,2,一定,yí, yídìng certain,s,壹
29,2,一定,yí,一定 yídìng certain,t,壹
30,2,一样,yí, yíyàng same,s,壹
31,2,一樣,yí,一樣 yíyàng same,t,壹
32,2,一月,yí, yíyuè January,s,壹
33,2,一月,yí,一月 yíyuè January,t,壹
34,2,一,yì,"(used before tones #1, #2 and #3)",s,壹
35,2,一,yì,"(used before tones #1, #2 and #3)",t,壹
36,2,一点儿,yì, yìdiǎnr a little,s,壹
37,2,一點兒,yì,一點兒 yìdiǎnr a little,t,壹
38,2,一些,yì,"yìxiē some {Compare with 幺 yāo, which also means one}",s,壹
39,2,一些,yì,"yìxiē some {Compare with 幺 yāo, which also means one}",t,壹
40,3,是,shì,"to be, 是不是? shìbushì? is (it) or is (it) not?",s,
41,3,是,shì,"to be, 是不是? shìbushì? is (it) or is (it) not?",t,
42,3,是否,shì," shìfǒu whether or not, is (it) or is (it) not?",s,
43,3,是否,shì,"是否 shìfǒu whether or not, is (it) or is (it) not?",t,
44,4,不,bù,not,s,
45,4,不,bù,not,t,
46,4,不,bú,(used before tone #4),s,
47,4,不,bú,(used before tone #4),t,
48,4,不是,bú, bú shì isn't,s,
49,4,不是,bú,不是 bú shì isn't,t,
50,5,了,le,<verb particle marking a new situation or a completed action>,s,
51,5,了,le,<verb particle marking a new situation or a completed action>,t,
52,5,你来了!,le,Nǐ láile!,s,
53,5,你來了!,le,Nǐ láile!,t,
54,5,了解,liǎo," liǎojiě) understand, comprehend",s,
55,5,了解,liǎo,"end, finish, settle, dispose of, know clearly, to be able, (Equivalent:  了解 liǎojiě) understand, comprehend",t,
56,5,了了,liǎo," liǎoliaǒ clearly understand, settle (a debt/etc.), to be intelligent",s,
57,5,了了,liǎo,"了了 liǎoliaǒ clearly understand, settle (a debt/etc.), to be intelligent",t,
58,5,了了,liǎo, liǎole to be over/ended/finnish/settled,s,
59,5,了了,liǎo,了了 liǎole to be over/ended/finnish/settled,t,
60,5,你卖不了,liǎo,! Nǐ mài bùliǎo! You will not be able to sell (it)!,s,
61,5,你賣不了,liǎo,你賣不了! Nǐ mài bùliǎo! You will not be able to sell (it)!,t,
62,5,瞭,liào,"to survey/watch{Compare with 子, zǐ child}",s,
