,cat,word/character,pronunciation,definition,code,alt,full_pronunciation
0,1,的,de,<grammatical particle marking genitive as well as simple and composed adjectives>,s,,de
1,1,的,de,<grammatical particle marking genitive as well as simple and composed adjectives>,t,,de
2,1,的,dí,"true, real",s,,dí
3,1,的,dí,"true, real",t,,dí
4,2,一,yī,"one, a little",s,壹,yī
5,2,一,yī,"one, a little",t,壹,yī
6,2,一,yí,(used before tones #4 and #5),s,壹,yí
7,2,一,yí,(used before tones #4 and #5),t,壹,yí
8,2,一,yì,"(used before tones #1, #2 and #3)",s,壹,yì
9,2,一,yì,"(used before tones #1, #2 and #3)",t,壹,yì
10,3,是,shì,"to be, 是不是? shìbushì? is (it) or is (it) not?",s,,shì
11,3,是,shì,"to be, 是不是? shìbushì? is (it) or is (it) not?",t,,shì
12,4,不,bù,not,s,,bù
13,4,不,bù,not,t,,bù
14,4,不,bú,(used before tone #4),s,,bú
15,4,不,bú,(used before tone #4),t,,bú
16,5,了,le,<verb particle marking a new situation or a completed action>,s,,le
17,5,了,le,<verb particle marking a new situation or a completed action>,t,,le
18,5,瞭,liào,"to survey/watch{Compare with 子, zǐ child}",s,,liào
19,5,瞭,liào,"to survey/watch{Compare with 子, zǐ child}",t,,liào
20,6,人,rén,person,s,,rén
21,6,人,rén,person,t,,rén
22,7,我,wǒ,"I, me, my",s,,wǒ
23,7,我,wǒ,"I, me, my",t,,wǒ
24,8,在,zài,at,s,,zài
25,8,在,zài,at,t,,zài
26,9,有,yǒu,"have, there is",s,,yǒu
27,9,有,yǒu,"have, there is",t,,yǒu
28,9,有,yòu,"(Equivalent:  又 yòu) again, both... and...",s,,yòu
29,9,有,yòu,"(Equivalent:  又 yòu) again, both... and...",t,,yòu
30,10,他,tā,"he, him, his, (she, her, it, its), (Equivalent:  其他 qítā) other",s,,tā
31,10,他,tā,"he, him, his, (she, her, it, its), (Equivalent:  其他 qítā) other",t,,tā
32,10,他,tuō,"(in classical texts) someone else, something else",s,,tuō
33,10,他,tuō,"(in classical texts) someone else, something else",t,,tuō
34,11,这,zhè,this,s,,zhè
35,11,這,zhè,this,t,,zhè
36,11,这,zhèi,this (before classifier),s,,zhèi
37,11,這,zhèi,this (before classifier),t,,zhèi
38,12,中,zhōng,"middle, in",s,,zhōng
39,12,中,zhōng,"middle, in",t,,zhōng
40,12,中,zhòng,hit (a target),s,,zhòng
41,12,中,zhòng,hit (a target),t,,zhòng
42,13,大,dà,big,s,,dà
43,13,大,dà,big,t,,dà
44,14,来,lái,come,s,,lái
45,14,來,lái,come,t,,lái
46,14,来,lai,(when used as a verb complement),s,,lai
47,14,來,lai,(when used as a verb complement),t,,lai
48,15,上,shàng,"above, on, over, top, (go) up, last, previous",s,,shàng
49,15,上,shàng,"above, on, over, top, (go) up, last, previous",t,,shàng
50,15,上,shang,(when used as a verb complement){Compare with 下 xià under},s,,shang
51,15,上,shang,(when used as a verb complement){Compare with 下 xià under},t,,shang
52,16,国,guó,"(Equivalent:  国家 guójiā) country, state, nation, <family name>",s,,guó
53,16,國,guó,"(Equivalent:  國家 guójiā) country, state, nation, <family name>",t,,guó
