cat,word/character,pronunciation,definition,code,alt
1,的,de,<grammatical particle marking genitive as well as simple and composed adjectives>,s,
1,的,de,<grammatical particle marking genitive as well as simple and composed adjectives>,t,
1,我的,de, wǒde my,s,
1,我的,de,我的 wǒde my,t,
1,高的,de," gāode high, tall",s,
1,高的,de,"高的 gāode high, tall",t,
1,是的,de," shìde that's it, that's right",s,
1,是的,de,"是的 shìde that's it, that's right",t,
1,是...的,de,shì...de one who...,s,
1,是...的,de,是...的 shì...de one who...,t,
1,他是说汉语的,de,. Tā shì shuō Hànyǔde. He is one who speaks Chinese.,s,
1,他是说汉语的,de,他是说汉语的. Tā shì shuō Hànyǔde. He is one who speaks Chinese.,t,
1,目的,dì, mùdì goal,s,
1,目的,dì,目的 mùdì goal,t,
1,的,dí,"true, real",s,
1,的,dí,"true, real",t,
1,的确,dí, díquè certainly,s,
1,的确,dí,的确 díquè certainly,t,
2,一,yī,"one, a little",s,壹
2,一,yī,"one, a little",t,壹
2,第一,yī," dì-yī first, primary",s,壹
2,第一,yī,"第一 dì-yī first, primary",t,壹
2,看一看,yī, kànyīkàn have a (quick) look at,s,壹
2,看一看,yī,看一看 kànyīkàn have a (quick) look at,t,壹
2,一,yí,(used before tones #4 and #5),s,壹
2,一,yí,(used before tones #4 and #5),t,壹
2,一个人,yí, yíge rén one person,s,壹
2,一个人,yí,一个人 yíge rén one person,t,壹
2,一定,yí, yídìng certain,s,壹
2,一定,yí,一定 yídìng certain,t,壹
2,一样,yí, yíyàng same,s,壹
2,一样,yí,一样 yíyàng same,t,壹
2,一月,yí, yíyuè January,s,壹
2,一月,yí,一月 yíyuè January,t,壹
2,一,yì,"(used before tones #1, #2 and #3)",s,壹
2,一,yì,"(used before tones #1, #2 and #3)",t,壹
2,一点儿,yì, yìdiǎnr a little,s,壹
2,一点儿,yì,一点儿 yìdiǎnr a little,t,壹
2,一些 yìxiē some{Compare with 幺(T 么,yì,") yāo, which also means ""one""}",s,壹
2,一些 yìxiē some{Compare with 幺(T 么,yì,"一些 yìxiē some{Compare with 幺(T 么) yāo, which also means ""one""}",t,壹
3,是,shì,"to be, 是不是? shìbushì? is (it) or is (it) not?",s,
3,是,shì,"to be, 是不是? shìbushì? is (it) or is (it) not?",t,
3,是否,shì," shìfǒu whether or not, is (it) or is (it) not?",s,
3,是否,shì,"是否 shìfǒu whether or not, is (it) or is (it) not?",t,
4,不,bù,not,s,
4,不,bù,not,t,
4,不,bú,(used before tone #4),s,
4,不,bú,(used before tone #4),t,
4,不是,bú, bú shì isn't,s,
4,不是,bú,不是 bú shì isn't,t,
5,了,le,<verb particle marking a new situation or a completed action>,s,
5,了,le,<verb particle marking a new situation or a completed action>,t,
5,你来了! Nǐ láile! You have come! 我累了! Wǒ lèile! I've gottentired! 那好了! Nà hǎole! That's OK (now)! 我只请了一位客人,le,. Wǒ zhǐ qǐngle yí wèi kèren. I invited only one guest.,s,
